earliest_credit_line,Count
1979-02-01,21
1978-11-01,21
2010-04-01,21
1978-01-01,21
1980-08-01,21
1982-09-01,21
1977-08-01,20
1979-08-01,20
1978-03-01,20
1980-05-01,20
2009-11-01,20
1982-02-01,20
1980-01-01,20
2009-02-01,20
1979-09-01,19
2010-08-01,19
1978-08-01,19
2009-04-01,19
1979-04-01,19
1978-07-01,18
1977-09-01,18
1980-07-01,18
1978-05-01,18
1976-06-01,18
1979-06-01,18
2010-06-01,18
1978-12-01,18
1981-02-01,18
1978-04-01,18
2010-07-01,18
1977-04-01,17
1982-01-01,17
1980-03-01,17
1978-10-01,17
1981-05-01,17
1978-02-01,17
1976-08-01,16
1978-06-01,16
1979-07-01,16
1976-01-01,16
1977-06-01,15
1974-08-01,15
1979-11-01,15
1975-03-01,15
1979-01-01,15
1977-10-01,14
1976-07-01,14
1977-05-01,14
1980-02-01,14
1976-05-01,13
2009-09-01,13
1976-03-01,13
1980-11-01,12
1979-03-01,12
1975-04-01,12
2010-11-01,12
1977-03-01,12
1975-08-01,12
2010-02-01,12
1977-07-01,12
1976-10-01,12
1974-07-01,12
1976-11-01,12
1977-01-01,11
1975-10-01,11
1973-12-01,11
2011-09-01,11
2010-10-01,11
1976-04-01,11
1976-09-01,10
1972-03-01,10
1972-11-01,10
1972-10-01,10
1972-09-01,10
1974-10-01,10
1973-08-01,10
1973-10-01,9
1975-11-01,9
1974-09-01,9
1972-02-01,9
1975-06-01,8
1973-11-01,8
1974-03-01,8
1973-05-01,8
1975-12-01,8
1975-01-01,8
1977-11-01,8
1973-04-01,8
1973-07-01,8
1974-05-01,8
1973-01-01,7
1972-04-01,7
1974-01-01,7
1970-05-01,7
1971-11-01,7
1971-08-01,7
1977-02-01,7
1974-06-01,7
1971-07-01,7
1973-02-01,7
1974-02-01,7
1967-07-01,6
1972-12-01,6
1972-06-01,6
1969-12-01,6
1970-12-01,6
1975-05-01,6
1970-03-01,6
1970-07-01,6
1973-06-01,6
1970-04-01,6
1971-06-01,6
1976-02-01,6
2011-02-01,6
1975-09-01,6
1968-05-01,6
1972-08-01,5
1973-03-01,5
2011-06-01,5
1971-04-01,5
1968-03-01,5
1971-03-01,5
1967-09-01,5
1972-07-01,5
1969-06-01,5
1971-12-01,5
1974-11-01,5
1974-12-01,5
1973-09-01,5
1970-09-01,5
1969-02-01,4
1966-06-01,4
1969-07-01,4
1965-05-01,4
1970-08-01,4
1972-05-01,4
2011-08-01,4
1969-10-01,4
1967-05-01,4
1971-01-01,4
1975-07-01,4
1970-06-01,4
1975-02-01,4
1969-08-01,4
1972-01-01,4
1974-04-01,4
1970-11-01,4
1970-01-01,4
1969-03-01,4
1970-10-01,4
1968-01-01,3
1964-09-01,3
1968-12-01,3
1968-11-01,3
1970-02-01,3
2011-03-01,3
1966-11-01,3
1968-02-01,3
1969-04-01,3
1967-11-01,3
2011-07-01,3
2011-01-01,3
1971-10-01,3
1969-09-01,3
1969-11-01,3
1971-05-01,3
1965-09-01,3
1966-10-01,3
1968-04-01,3
1967-08-01,3
1965-07-01,3
1967-10-01,3
1968-10-01,2
1961-01-01,2
1966-01-01,2
1971-02-01,2
1969-05-01,2
1967-06-01,2
1965-10-01,2
2011-10-01,2
1962-10-01,2
1962-09-01,2
1967-02-01,2
1966-03-01,2
1963-01-01,2
1968-08-01,2
1965-02-01,2
1968-06-01,2
2010-12-01,2
1968-09-01,2
1967-04-01,1
1962-11-01,1
1963-06-01,1
1963-03-01,1
1967-01-01,1
1965-12-01,1
1950-12-01,1
1966-04-01,1
1963-09-01,1
1960-11-01,1
1964-03-01,1
1962-03-01,1
1968-07-01,1
1964-04-01,1
1953-11-01,1
1964-06-01,1
1967-03-01,1
1965-03-01,1
2011-05-01,1
1963-08-01,1
1965-11-01,1
1965-08-01,1
2011-04-01,1
2011-11-01,1
1963-04-01,1
